2014-12-14 19:04:31,887 보다 미세 reef.wake.remote.transport.netty.NettyServerEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | Add connected channel ref: org.apache.reef.wake.remote.transport.netty.LinkReference@23624585
2014-12-14 19:04:31,888 보다 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.addReduce main | CommunicationGroup - Adding reduce operator to tree topology: Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-14 19:04:31,889 구성 reef.io.network.nggroup.impl.driver.TreeTopology.<init> main | CommunicationGroup:InitialTopoReduce - Tree Topology running with a fan-out of 2
2014-12-14 19:04:31,889 보다 미세 TreeTopology.setRootTask main | ENTRY CommunicationGroup:InitialTopoReduce -  ControllerTask
2014-12-14 19:04:31,890 보다 미세 TreeTopology.setRootTask main | RETURN CommunicationGroup:InitialTopoReduce - ControllerTask
2014-12-14 19:04:31,890 보다 미세 TreeTopology.setOperSpec main | ENTRY CommunicationGroup:InitialTopoReduce -  Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-14 19:04:31,891 보다 미세 TreeTopology.setOperSpec main | RETURN CommunicationGroup:InitialTopoReduce - Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-14 19:04:31,892 보다 미세 CommunicationGroupDriverImpl.addReduce main | RETURN [CommunicationGroup - , InitialTopoReduce,  added]
2014-12-14 19:04:31,895 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER remoteid: socket://192.168.0.12:13744 messageType: org.apache.reef.proto.ClientRuntimeProtocol$JobControlProto handler: org.apache.reef.runtime.common.driver.client.ClientManager
2014-12-14 19:04:31,896 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | socket://192.168.0.12:13744 class org.apache.reef.proto.ClientRuntimeProtocol$JobControlProto
2014-12-14 19:04:31,898 미세 reef.runtime.common.driver.evaluator.EvaluatorResourceManagerErrorHandler.<init> main | Instantiated 'EvaluatorResourceManagerErrorHandler'
2014-12-14 19:04:31,903 보다 미세 reef.wake.time.runtime.RuntimeClock.run main | ENTRY
2014-12-14 19:04:31,904 미세 reef.wake.time.runtime.RuntimeClock.run main | Subscribe event handlers
2014-12-14 19:04:31,907 미세 reef.wake.time.runtime.RuntimeClock.run main | Initiate runtime start
2014-12-14 19:04:31,908 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoked for event: org.apache.reef.wake.time.runtime.event.RuntimeStart[1418551471908]
2014-12-14 19:04:31,908 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.local.driver.ContainerManager$2@212ca458
